"id","continent_id","name","lower_name","country_code","full_name","cname","full_cname","remark","continent"
1,3,"Cameroon","the republic of cameroon","CMR","the Republic of Cameroon","喀麦隆","喀麦隆共和国","喀麦隆共和国（法语：République du Cameroun）通称喀麦隆，是位于非洲中西部的单一制共和国，西方与尼日利亚接壤，东北与东边分别和乍得与中非相靠，南方则与赤道几内亚、加蓬及刚果共和国毗邻。","Africa"
2,3,"Benin","the republic of benin ","BEN","the Republic of Benin ","贝宁","贝宁共和国","贝宁全称：贝宁共和国（法语República Popular do Benin,La République du Bénin）是位于西非中南部的国家，旧名达荷美（Dahomey），前法国殖民地，贝宁（Benin）南濒几内亚湾，东邻尼日利亚，北与尼日尔接壤，西北与布基纳法索相连，西和多哥接壤，海岸线长125公里。全境南北狭长，南窄北宽。南部沿海为宽约100公里的平原。中部为海拔200－400米波状起伏的高原。西北部的阿塔科拉山海拔641米，为全国最高点。","Africa"
3,3,"Madagascar","the republic of madagascar ","MDG","the Republic of Madagascar ","马达加斯加","马达加斯加共和国","马达加斯加全称马达加斯加共和国，非洲岛国，位于印度洋西部，隔莫桑比克海峡与非洲大陆相望，全岛由火山岩构成。作为非洲第一、世界第四大的岛屿，马达加斯加旅游资源丰富，上世纪90年代以来，该国政府将旅游业列为重点发展行业，鼓励外商向旅游业投资。居民中98%是马达加斯加人。","Africa"
4,3,"Rwanda","the republic of rwanda","RWA","the Republic of Rwanda","卢旺达","卢旺达共和国","卢旺达（Republika y'u Rwanda） 是非洲中东部的一个国家，全称卢旺达共和国，位于非洲中东部赤道南侧，内陆国家。东邻坦桑尼亚，南连布隆迪，西和西北与刚果（金）交界，北与乌干达接壤，国土面积26338平方公里。境内多山，有“千丘之国”的称谓。","Africa"
5,3,"Seychelles","the republic of seychelles","SYC","the Republic of Seychelles","塞舌尔","塞舌尔共和国","塞舌尔，全名塞舌尔共和国，是坐落在东部非洲印度洋上的一个群岛国家。1976年6月29日塞舌尔宣告独立，成立塞舌尔共和国，属英联邦成员。全境半数地区为自然保护区，享有“旅游者天堂”的美誉。","Africa"
6,3,"Cote d'lvoire","the republic of cote d'ivoire","CIV","the Republic of Cote d'ivoire","科特迪瓦","科特迪瓦共和国","科特迪瓦（Coate d'Ivoire）全名科特迪瓦共和国（The Republic of Côte d'Ivoire, La République de Côte d'Ivoire ），科特迪瓦在法语的意思是“象牙的海岸”，应该国政府要求，中华人民共和国用音译名为科特迪瓦。联合国自1985年12月31日起使用此音译名。是西非国家，与加纳、利比里亚、几内亚、马里和布基纳法索相邻。海岸线长约500公里。","Africa"
7,3,"Egypt","the arab republic of egypt ","EGY","the Arab Republic of Egypt ","埃及","阿拉伯埃及共和国","埃及既是亚、非之间的陆地交通要冲，也是大西洋于印度洋之间海上航线的捷径，战略位置十分重要。埃及是中东人口最多的国家，也是非洲人口第二大国，在经济、科技领域方面长期处于非洲领先态势。也是一个非洲的强国，是非洲第三大经济体","Africa"
8,3,"Mauritius","the republic of mauritius","MUS","the Republic of Mauritius","毛里求斯","毛里求斯共和国","毛里求斯共和国为非洲东部一岛国，位于印度洋西南方，距马达加斯加约800公里，与非洲大陆相距2,200公里。作为火山岛国，毛里求斯四周被珊瑚礁环绕，岛上地貌千姿百态，沿海是狭窄平原，中部是高原山地，有多座山脉和孤立的山峰。整个国土由毛里求斯岛和其他小群岛组成，经历荷兰、法国和英国等国殖民统治后，于1968年3月12日脱离英国殖民获得独立，岛上亦有不少华人。","Africa"
9,3,"Burkina Faso","burkina faso","BFA","Burkina Faso","布基纳法索","布基纳法索","布基纳法索（法语:Burkina Faso）是位于非洲西部沃尔特河上游的内陆国。东邻贝宁、尼日尔，南与科特迪瓦、加纳、多哥交界，西、北与马里接壤。全境大部地区为内陆高原，地势平坦，自北向南徐缓倾斜，平均海拔不到300米；北部接近撒哈拉沙漠，西南部奥罗达拉地区地势较高；纳库鲁峰海拔749米，为全国最高点。主要河流有穆温河、纳康伯河和纳齐农河。","Africa"
10,3,"Eritrea","the commonwealth of eritrea","ERI","the Commonwealth of Eritrea","厄立特里亚","厄立特里亚国","厄立特里亚位于非洲东北部，西邻苏丹共和国，南邻埃塞俄比亚、吉布提，东隔红海与沙特阿拉伯和也门相望，扼红海进出印度洋的门户，地理位置十分重要。全国海岸线长1200公里","Africa"
